9498 unique present genes were clustered into 49 modules. M1-, M2- and TPP-associated modules are highlighted in blue, red and grey, respecitively.																																																	
																																																	
	Modules																																																
10	XPOT	ADAM9	NIPA1	EFTUD2	PARP4	ARID1A	SAMD9L	GBP1	SLCO4A1	COX5B	NDUFS7	SHB	CKS2	REEP5	FOS	SNTB1	LXN	ZDHHC5	TMED9	TCEB1	GPC4	CCNB2	SUMO3	TSC22D3	C1ORF97	C14ORF100	SC4MOL	AMY1B	CST7	SEPHS2	SLC35E3	NUMB	RGS12	GSG1L	UFC1	LOC647389	XPO6	CD7	APOO	DUSP12	PTOV1	AP1B1	HPS3	S1PR3	PTGS1	CLSTN1	GPBAR1	LOC650518	KIAA0232
11	ALDOA	RP9	C18ORF21	CLPTM1L	TTLL4	WDR5	IFIH1	C9ORF109	TRIB3	TMEM138	CCDC15	FAM129A	TLR1	PER2	PELP1	MAPK7	MFSD8	PRDX1	SEC61A1	S100A11	KIAA1147	BRWD2	MRPL9	WDR6	ARHGAP30	LMBR1	CYB5D1	HAX1	MCOLN2	DHRS9	NME4	LINS1	SYT11	PAK2	TPP2	EID2B	ZNF589	LAPTM4B	MEFV	FAM111A	TNFSF13	FCGRT	NCF1B	CCNK	KLF4	DIP2B	CNIH	DDX19B	CCDC66
12	FAM108B1	POLG	PRDX5	STK24	C12ORF26	PCK2	IFIT3	AIM2	COMMD7	EFHA1	C5	RHBDF1	ITGB2	RASAL1	KIAA1671	CYP27A1	SELS	GDPD5	FAM50A	CENPN	CIR1	SLC45A3	B2M	PSMA4	CCDC90B	ZMYM4	DHCR24	AMY1A	NAV1	TSPAN7	RWDD2A	FYB	GCLC	MLEC	BRD7	SLC24A4	EFCAB4A	CPEB3	FER1L3	AQR	C3ORF37	TMEM131	CSRNP2	SLCO2B1	TRABD	MTRF1L	CA2	GALNT4	CHURC1
13	GAPDH	DNAJC7	LCP2	DAPK1	ARL6IP5	MFN2	DTX3L	GBP5	CARS	ABHD6	C20ORF7	PITX1	IER3	MOBKL2B	CYBB	FSCN1	ORMDL1	TAF1B	CTNS	LOC646900	MTA1	LOC731314	COMMD3	CCNL1	C1ORF55	WRB	HMGCR	GNB1	LOR	SLC44A1	MUCL1	LOC391045	ICOSLG	LCOR	LOC134997	LRRFIP1	DUSP11	ATG3	DAGLB	HDHD3	TATDN1	DOCK8	FFAR2	PATL1	ZBTB43	CTSC	C12ORF76	FCHO2	CLEC2B
14	LOC732165	POT1	USP38	DOK3	SNAP23	TIMM44	TRIM22	HAPLN3	ZNF511	THYN1	SLC4A7	TMEM194	COX10	IL1RAP	ALOX5AP	ENOSF1	ARF4	NRSN2	ATP6V1C1	ITPR2	SCG5	HS3ST1	PAFAH1B1	TSPYL1	VPS26B	OTUD6B	SFT2D1	STOM	GPR64	SEMA3A	CECR1	DEF6	CRISPLD2	C21ORF66	LOC402644	CCBE1	STK38	CYB5R1	TPRG1L	ZBP1	RGL1	OPTN	SNX10	CYB561D2	TCEAL8	C5ORF51	CABC1	NFXL1	EIF1AY
15	PGK1	YME1L1	C9ORF156	FOXJ3	PISD	FGFR1OP2	SP110	GBP4	UBE2E3	LOC644762	ITGA3	PMP22	RYR1	DDRGK1	CCRN4L	AKR1C3	SPTLC2	SPAG7	SDF2L1	KDM3B	GREM1	MGC87042	PHC3	SFRS1	NRAS	LOC647346	DHCR7	C3ORF17	C1ORF115	ITGAV	SLC7A5	METTL9	TBCE	P704P	PICALM	TNFSF15	CALM1	PRO0628	GAB3	GIMAP8	FAM62B	MFNG	TAF6L	ZNF428	PPP1R11	EIF4ENIF1	ABCC3	DCTN1	KREMEN1
16	PGAM1	CICE	PABPN1	ZNF277	PTPN4	ZNF548	TRIM26	ETV7	CRABP2	CSDA	DUSP28	TFDP1	GMIP	VCL	IL1R1	MAPK13	CHUK	NOL7	DDX39	ANXA1	GLCE	APITD1	PLEKHO1	SVIL	FBXO8	FBXO7	INO80C	LPGAT1	ETV3	F11R	PYCARD	C19ORF42	PTPDC1	NAGA	SP4	TDRD1	MAP2K5	RALB	TMEM45B	MRPL39	ZDHHC7	HK2	CLEC6A	TCEAL4	ZNFX1	PAAF1	TPST1	ADAMTSL4	CYORF15A
17	LOC440359	CNBP	ARRB1	USP5	C17ORF81	SFRS5	C1ORF144	MDK	SFRS14	RRAGA	ABCB7	SLC6A10P	ERMAP	SLC7A7	CARD9	IREB2	ANO8	LPCAT3	FERMT3	RSRC1	SPSB1	UBE2C	KIAA0430	TXNDC5	COBRA1	YWHAQ	CYP51A1	CCDC115	PHF16	CATSPER1	PLCL1	KIAA0391	NUAK2	MLLT10	TMBIM6	C11ORF63	LOC374395	DACT3	DUSP22	CYCSL1	RAC2	GAS7	KLF11	PPTC7	PATE2	OTUD4	PLCL2	MITD1	SNX13
18	LOC732007	TMED10	TMEM219	DNAJA2	MED15	SEPN1	PGM1	VAMP5	TARS	ZNF518B	PNN	LRRC8A	SH3PXD2B	CH25H	CLIC2	CCNG2	GLA	BBS2	PSMD1	IL13RA1	HMG20B	STEAP1	ZNF410	NEDD1	TBCD	HDAC2	MVK	FAM49B	LAMP3	DSCR3	SLC7A11	RIPK2	P2RY11	FIS1	ANKRA2	PTGR2	RALGPS1	INTS8	PGCP	SERTAD3	EXOC3	LONRF1	NCF1C	C3ORF75	CRNN	LONP1	C16ORF80	PPM1F	UBE3B
19	C15ORF40	THOC4	ZNF385A	TXNL1	POLD4	C10ORF32	IFI35	NFIX	PSAT1	RAB11FIP2	RPS19	EGR2	GLRX2	PARM1	RAMP1	JAKMIP2	NSFL1C	PIGM	DNAJB11	POLR2G	KLHDC5	TRIP13	ZNF514	RHOB	TCF12	ALG5	LOC158160	ACTG1	INSM1	PNPLA8	CDK5RAP2	USP13	HADHB	CLK4	KIAA1712	TRIM13	SNAPC2	ZNF672	MTCH1	PSIP1	RBP1	SLC37A4	SSPN	SLC35B4	CPEB4	TSC22D1	LOC732075	INTS12	APCS
20	PRKAG1	SNORA70	CGRRF1	LEPR	C12ORF44	LOC146517	IRF7	ANKRD22	SLC1A5	LOC285176	RWDD1	MTCP1	BRP44L	CD1E	DAP	KIAA0194	SLC10A7	SLC25A20	LEPRE1	TMEM43	NT5DC1	KIFC1	KIAA1128	PTPN22	SGSH	PUS7L	FDPS	YWHAB	NCCRP1	SLC16A10	EPHB6	FLJ20273	ATL3	CCDC59	DDX50	ZMAT3	LOC653071	POMT1	HABP4	RRP12	P2RY6	FAM122B	NCF1	MFSD1	KCTD3	RP5-1022P6.2	AMDHD2	PSMA6	FAM40A
21	PI4KAP2	STT3B	TNFAIP8L2	TMEM176B	LOC731049	HYAL2	NT5C3	APOL6	SLC28A3	ZNF330	ABHD14B	C1ORF24	ATP5B	NRIP1	HOMER2	RNF185	SYVN1	P4HTM	HSP90B1	MARCH8	GTF2IRD1	EPHB2	FEM1B	MRPL52	LOC221710	DNAJC10	ELOVL5	PFKFB4	TUBB2B	EMR3	ARL8B	CYP2S1	FOXC1	RAP2C	TTC31	C14ORF85	ZNF524	DDX42	RASAL3	DHX36	SLC2A1	SCYL1BP1	EPAS1	HCFC1	SEPX1	SLC12A9	C20ORF45	MRP63	UEVLD
22	LOC644774	ARPC3	MEX3C	TMEM4	HMGB1	AK2	EPSTI1	GBP2	SLC30A3	DDT	C13ORF27	CCND2	CHCHD9	NPEPPS	NAGPA	IRAK1	CRY1	SIGLEC9	SYS1	RBM18	DOCK2	PRIM1	MSR1	CUTC	ZNF529	GLMN	INSIG1	TNFAIP2	BIRC3	S100A12	EPM2AIP1	HIST2H2AC	POLDIP3	STAG2	LOC653505	ZNF682	LHPP	PPP2R5E	IFFO1	ADD3	GBGT1	TPD52L2	COLEC12	LOC401115	RBMS2	NDUFV2	GGH	PLSCR3	XIST
23	MEN1	ZFAND6	TMEM134	CCBL2	RPS19BP1	LOC644590	DDX60	SLC6A12	CAMP	ZNF75D	LOC124512	CD93	LGALS2	MTFMT	PALLD	APOE	B3GNT6	SERAC1	ATP6V1F	ANTXR2	RHOC	CDCA5	NT5C	MAP1LC3B	ZC3H15	HSD17B12	TIGD2	CFL1	FOXD4L1	FAM46A	FAM13A	NR2C1	CBLN3	RB1CC1	BCKDHA	DUSP19	TRIP4	CENTA1	CCDC109A	LOC652968	CD163	SDCCAG3	TBC1D22B	PARP1	BAZ1A	PIK3AP1	DNAJB5	NAT8B	CYORF15B
24	LOC220686	LOC731777	SHISA5	JMJD1A	NRD1	ZSWIM6	TNFSF13B	JAK2	DEGS1	LOC649150	RPL41	CLYBL	RAC1	CMTM8	SOCS1	BRI3	SEC61B	CDCA4	ALDH6A1	ALCAM	TRIM9	CDC20	REXO2	UBE2D4	ATP6V1G1	EDF1	LDLR	ACTB	CD70	RNF145	CD83	PON2	NBPF14	AEBP2	LOC341457	C3ORF34	CYP20A1	OPLAH	GOT1	C21ORF119	MUS81	ZNF185	DDB1	ABL2	SLA	SP140L	SESN1	TMPO	SETD4
25	HSCB	LOC652489	DR1	GLT25D1	FKBP15	PIK3CA	XAF1	PSMB9	C20ORF3	MRPS21	PLA2G7	TRPM2	TNPO2	RFXAP	ADAM28	RING1	CRADD	MPO	NAT9	AOAH	C19ORF28	CCNE2	GTF3C2	MFSD10	MAPK6	CCDC88A	INTS5	GALNT1	CD80	NHLRC3	CRIM1	CD36	LRRC38	C18ORF25	PROSC	CHRNA5	LRP8	CHST12	ZNF319	ALS2	CRSP9	MAFF	HEATR5B	IMPA2	STX2	C6ORF150	WAS	POMGNT1	ZNF658B
26	TELO2	LOC642017	TMEM209	CLIC1	NIN	BAK1	DNAJA1	UBE2L6	ASNS	LOC441876	PELI3	EEA1	ZNF597	FLJ25006	DLST	UBE2M	KANK1	NUDT9	FKBP2	GPR141	FGD6	CDC45L	DCP1A	FAM91A1	C7ORF26	GPR180	DKFZP686O24166	AMY1C	FOXD4	TFPI	CSF1R	OCRL	ANXA2P3	CHCHD10	LOC645058	PPM1K	RNF113A	KCNMB1	ZDHHC14	DNAJA4	COL23A1	EDG1	DPY19L1	ITGB5	ELMO2	NEK3	ZMAT2	SH3GL1	ZNF468
27	TAGLN2	ZNF701	RBM25	MTSS1	NOMO2	B3GALT6	RSAD2	TAP1	ITGA5	SDHA	RPL13	FAIM2	SLC11A2	CD300LF	CRH	LARP4	PHLDA1	DPAGT1	CCL24	CSTB	ARHGAP9	CCNA2	SENP2	DEDD	C14ORF129	PPP1CC	HMGCS1	RAB7B	IDO2	LAMC1	RALA	DUSP10	SRRM1L	LOC402221	MKLN1	DEM1	C11ORF60	FAM65A	ZBTB4	CLIP2	NAP1L4	CDC25B	F8	TAF7	CASP7	PEX11B	GLIPR2	GIMAP7	RPS4Y1
28	TPI1	CIAO1	FBXL15	FRAP1	SDF4	SLC9A7	IRF9	WARS	PPME1	EIF3M	OXA1L	SLC12A8	DCI	CD1A	TRIB2	GCHFR	PBX4	PDK4	ARMET	LRRC42	TMEM217	TMEM119	B4GALT3	PRPF4	ARHGAP19	DDX46	SREBF1	RAB11A	RELB	MRLC2	CRLF2	ACSL1	IL4R	ANKRD11	ING1	SHROOM4	PPPDE1	ST3GAL2	GAL	C17ORF63	TNFRSF1A	IQGAP2	C4ORF18	NEDD8	OR3A4	MTHFS	TXNDC15	TST	
29	RNASEH2B	MORF4L2	GNA13	DNAJC27	ST6GALNAC6	LOC96610	MID1	DCAF6	BCL2L13	LYRM4	CYBASC3	SORT1	UBR7	SPATA5L1	AUH	FAIM3	AKAP11	AADACL1	GOLGA3	PTPLA	PLEKHF1	WDR51A	BLMH	SERTAD1	TNPO1	FAM36A	MMAB	ALOX15B	TIAM2	TAF10	NFKB1	C12ORF57	KIAA1949	TBPL1	GPR137	ARFIP1	CUL4A	MAX	ENO1	ATF1	TMEM176A	STAB1	TGFBI	TTC38	GNA12	DOCK5	CYBRD1	PEX1	
30	RALBP1	C17ORF80	OGFR	B4GALT7	PTEN	GART	IFIT5	PSMB10	SARS	HSD17B8	CYB5D2	ZNF146	AGPAT4	GPT	UST	ZNF438	HSF2BP	LETMD1	PTRH1	ACYP1	HTRA4	STMN1	GPBP1L1	MTHFR	GOLT1B	WSB2	EBP	WDR1	MAP3K14	RNF181	C6ORF105	ZNF805	PHF21A	DNAJB14	NSMAF	FCAR	CD58	LOC653631	INPPL1	SPATS2	SULT1A2	SUMF1	THOC1	MERTK	OSBPL7	PARP6	KLF2	SLC35D2	
31	SNHG11	KPNA2	FAM175B	SSNA1	PMPCB	C21ORF91	RPL10L	TIFA	AHCYL1	DAP3	EIF2AK1	ITGAM	DEK	C5ORF20	RAB33A	IPO13	PIR	FAM8A1	COPS2	ZNF622	SH3RF3	TYMS	LSMD1	TRIM25	NCK1	NARFL	SLCO4C1	GPR124	MMP25	MBTPS1	CHST7	DDOST	MGC4677	SECISBP2L	OFD1	KIAA1751	LRDD	SNTB2	SLC7A1	HYAL3	SLC23A2	MYO5A	TACC3	DUSP5	HIST2H2BE	VPS37A	CTSS	GPX3	
32	SH2D5	LOC643357	SFRS12	DPP3	PDPK1	SACM1L	IFITM1	DYNLT1	MTHFD2	C10ORF137	PTPN9	PXMP3	MAP3K7IP2	PPP1R16A	ESPNL	AGRP	VWA5A	CPT1A	CALR	NLRP3	BAG3	NME7	EIF3B	SGMS1	C17ORF59	CIP29	GNE	FAM20A	SLC27A1	DHRS7	CASP9	SRPK1	ZC3HC1	TMSB10	DCTN4	LRAP	ZFP3	MEA1	EPRS	RPA1	SRD5A1	PEPD	MANBAL	SMARCD1	TP53I13	DEXI	PHF23	GOLPH3L	
33	PJA1	GNAQ	TUBGCP2	ALDH16A1	VPS25	RNASE4	RTP4	TNFSF10	SLC44A2	LOC644039	HNRPC	RASAL2	RPS4Y2	SPN	EGLN3	PHACTR1	TMEM39A	EVI2B	VCP	FLJ21865	KCNE1	NUSAP1	USP3	C16ORF7	ABHD8	ABCB10	FAM102A	BFAR	GRASP	LOC645904	LOC643930	UBAP1	CLECL1	KIAA0892	GTF3C6	HSPC268	INPP4A	U2AF2	MATK	BLVRA	PIGP	C15ORF38	AMZ2	OSGEP	RFWD2	NAAA	MBNL3	SNRNP48	
34	GTF2I	ATP2C1	NRP2	PMF1	TMEM55A	PRPSAP2	GLTP	BTN3A3	DNAJB1	LOC728643	LOC729776	ANKRD37	GNA15	IFNAR2	GALNTL4	LAMP1	IDE	G6PD	CRELD2	USPL1	ZNF362	POLQ	CASP4	FKBP4	SIN3B	LANCL2	IDI1	DSE	TBC1D13	RPUSD3	AIFM2	NUP62	NIPSNAP3A	FBXW7	ZNF627	GRIPAP1	NARF	PTPRA	LOC255809	RECK	MPEG1	MPZL2	Sep-02	ZNF219	RAB28	NRBP2	CHPF	KCTD6	
35	LOC644739	LOC441050	TMEM106B	MPDU1	LOC651816	HTR2A	SH3PXD2A	NMI	GM2A	PPP2R5C	SUMF2	WDYHV1	C6ORF120	STAT6	CXORF40A	LMAN2L	VEZT	DSTN	RWDD2B	ELL	RHEB	HMMR	FAM190B	SCYL3	ATP6V1A	SUGT1		CLCN7	ALPK2	EIF3K	ARFGAP3	LOC147645	TM9SF4	UBQLN2	ETV6	XPNPEP3	C6ORF136	ASCC3	MTP18	NGF	TECPR1	SNX11	TXNRD2	SLC36A1	FGL2	CPVL	SLC41A3	ITPR3	
36	CSNK2A1	MDFIC	MAD1L1	ANPEP	TBL2	ULK3	PHF11	PSMB8	LARP1	UQCRH	FAM116B	STXBP5	MTX2	CD1C	ALOX15	FAM89A	TERF2	PPP4R1	PSMB4	FCGR2A	TMEM30A	TK1	SPG11	SURF6	METTL4	CANX		CLN8	CASZ1	CYP3A5	ERN1	CSGALNACT1	HPCAL1	SENP7	PPM1B	XRCC2	GLTSCR2	TTRAP	MGST1	CTNND1	NISCH	TMEM150A	MTMR4	PLA2G15	ITPRIP	SUOX	CASP2	ZBED5	
37	SLC13A3	UBXN10	RNF38	ENG	SLC2A11	LAPTM4A	RAB8A	ZDHHC8	RHBDD1	LOC644511	RIPK3	CST6	C8ORF40	C1ORF218	CD14	APOC1	DNAJC3	PDE1B	TTYH3	LPL	ITGAX	TOP2A	EIF1	TMED3	UAP1	MAP2K1IP1		GYPC	LYPD3	C3ORF64	SELK	RAF1	MYPOP	METT11D1	GOPC	HVCN1	C19ORF40	SNAP29	NDST2	ZFHX3	ASAP1	GPR34	MMD	MGC3731	SLC22A15	SPINT2	CTPS2	SCARNA9	
38	C15ORF23	FIZ1	TMEM109	LOC645937	ARHGEF10L	KIAA0947	PRIC285	BTN3A1	FAM127B	RPLP1	ECGF1	ST3GAL5	SCN3A	CDH2	WNT5B	WBP5	FAM57A	PROCR	LOC389599	IL10RA	HES4	CENPK	CAST	EFHD2	MINPP1	TM2D1		FAM105B	EHF	SPIRE1	GEM	PSTPIP2	WDR8	STK3	HNRPA2B1	FAM119A	RDH13	TRAPPC3	ENDOD1	ZNF470	LOC389641	LOC440280	CNIH4	SLC25A36	ARFGEF2	CD74	SMAD3	RILP	
39	HIATL1	AP1G1	ALKBH7	OXR1	SDCCAG8	UTP14A	IFI27	APOL2	CEBPG	LOC649260	AMY2A	LOC730744	RFC1	IL8RBP	MUTED	C11ORF46	PSMC1	C12ORF10	SEC23B	ADCY3	LY9	MAD2L1	SFRS2	FLJ20628	BCL2L12	HNRPLL		COMMD10		ZNF22	ZNF573	SCPEP1	TMEM205	SUZ12	LOC643997	DHX32	BCKDK	TWF1	RUFY1	CCDC14	G3BP2	GRAMD4	MCRS1	SCCPDH	C2ORF24	SFXN5	SMAD7	ITM2C	
40	USP22	LOC645385	PIP5K1C	EMP3	FBXO21	LSM12	CERK	CXCL11	AARS	MED4	EIF3H	TBC1D16	CHPF2	TRIM36	EXOC2	SCARB2	SPCS2	RBM6	COQ6	SPG3A	TM4SF19	POLR2L	TM6SF1	LOC647000	USP15	ZMPSTE24		TMEM14B		LIN7B	TMEM189	MAPKAPK3	NSUN7	PPP2CA	CACYBP	ZNF394	SEC61G	INTS9	SMARCD3	KIAA0562	EXOSC8	C1ORF57	ARHGDIB	C16ORF62	LOC441150	ATF7IP2	RERE	ASCC2	
41	THOC5	ACLY	BIRC6	RAI1	ARMC1	LAGE3	PARP12	ELF4	EBI2	SMU1	KIAA1539	BAZ2B	UQCRFS1	HES6	RAP1GAP	ARHGAP22	SLC33A1	CD81	MKRN1	ODF2	PRKCB1	RFC5	SFRS7	GTDC1	LTB4R	SF3B2		DOCK10		SAR1A	ABHD14A	C14ORF173	ADORA2B	POLS	RALGDS	MBTD1	NCKIPSD	EIF2B2	PTPN7	HERC1	CAMSAP1	FKBP9L	HPS6	TSPO	LOC440731	LOC642755	TNFRSF9	TAPBPL	
42	GPN2	LOC648024	AAMP	ABCF2	TMEM63A	UBTF	OAS2	SERPINI1	CSF1	LOC653314	RRAS2	TMBIM4	TLR6	SASH1	TOR3A	SCAMP3	OKL38	VPS11	USP8	B3GALTL	DDIT3	KIF11	RARS2	PRR13	CYB5R4	MCEE		C1S		HCST	CEPT1	LOC653610	CD9	FAM89B	MGC70857	MYO3B	OCEL1	CLDND2	LOC653583	BBS12	NUP214	TPP1	C6ORF115	PLOD1	PLCXD1	ELMO1	KLHL12	TNS3	
43	COIL	SLC25A24	WBP4	U1SNRNPBP	TYW1	DPM2	DYSF	ALPK1	YARS	RDBP	RPLP2	WFS1	SLCO3A1	NAPSB	WDR33	ACPL2	TXNRD1	ABP1	KCTD18	CD151	CCNA1	CDCA7	RAPGEF6	KLF6	HIP2	PTGES3		ENY2		C22ORF39	TNFRSF4	HIST2H2AA3	MUSK	ANKHD1	PWWP2A	LOC648852	PANK4	PIGK	SIPA1	LOC649754	MTRR	GNPDA1	MKNK1	MIOS	PKIA	CHCHD7	ADD1	UXT	
44	FAM10A7	SRP14	C19ORF12	PDZD8	UBE2E1	NOMO3	MX1	TAP2	SORL1	ELMOD2	NACA	VPS54	TMEM183A	CREB5	TIGD5	PPARG	SDSL	PHF15	KITLG	STX3	TEF	UHRF1	KIF1B	SFRS4	TMED5	C1ORF212		LOC201175		PIGA	IRAK2	CYB5R2	CDC42EP5	GGNBP2	C19ORF50	DDX51	DIAPH2	TCF25	C1ORF31	DDX21	GNPTAB	LGMN	SOD1	PPFIA4	ENO2	CD302	PRR5	C7ORF49	
45	GLTSCR1	SUMO2	CTNNBL1	C7ORF43	NRBP1	KIAA1600	IFITM3	PARP14	ZNF598	LOC400963	RPL7A	ISCA1L	ZBTB8OS	RHBDL3	FOXQ1	DNASE2	AMICA1	CDC37	TUBB2C		IMPDH1	CDCA8	C16ORF53	CRAT	BET1	SRI		ITGA4		IL6	HINT3	CLTC	CYP1B1	SAC3D1	CDC42	TSPAN14	GDE1	ARAF	FBP1	ZNF366	ATRN	HDAC4	MYL6	RNASE1	HDGF	CES8	DUSP3	DDX56	
46	METTL11A	NVL	THUMPD1	LOC652672	SSR2	FBXO11	CMPK2	HLA-G	CBX1	RPS6KA5	RPS13	ROBO3	C17ORF87	TACSTD2	ITPRIPL1	TMEM104	LOC653566	ACTR8	FAM43A		MAP4K3	PFKM	TOB1	PTGES2	MYL6B	IQSEC1		COPS4		LOC646786	C2ORF30	ME1	ANXA2P1	TSC22D2	TP53I3	STAC	RFP	FHL3	RABGGTB	PROK2	NGLY1	TGFBR2	ASPSCR1	ZFYVE16	KCNK6	PTGFRN	LPIN2	TAGLN	
47	RNF5P1	ADAM10	SCYL1	BTAF1	FCHSD2	MAPKAP1	SAMD9	HLA-C	HSPA1B	DYM	CCBL1	MS4A7	TMEM126B	UBL3	IL17RB	ATP6V0C	FICD	LFNG	TRA1P2		SERPINE2	EXO1	EEF2K	C2ORF44	ACSL3	SUPT5H		COMMD8		SAP30	SLC6A6	CCDC56	SCD	POP7	EIF4G1	ZNF69	GNG7	MEF2A	WWC3	LOC643300	BHLHB2	AK3L1	SLC7A6	BSCL2	NRM	NUPL1	OPRL1	KLHDC3	
